gene,pos|score,pos|p-value,pos|fdr,pos|rank,pos|lfc,pos|goodsgrnacount,pos|goodsgrnaid,pos|goodsgrnalfc
PLEC,0.0073449,0.03127,0.945518,645,0.79336,4,HGLibB_37006;HGLibA_37054;HGLibB_37005;HGLibA_37052;,2.2949;1.3145;1.4828;0.27223;
SETD8,0.0073678,0.03127,0.945518,647,0.71247,5,HGLibA_43662;HGLibA_43661;HGLibB_43609;HGLibB_43607;HGLibA_43660;,1.6703;0.97725;0.65629;0.36604;0.76865;
ADCY1,0.0074206,0.031557,0.945518,651,0.94521,4,HGLibB_00902;HGLibA_00906;HGLibB_00904;HGLibB_00903;,1.3434;1.9819;1.3795;0.54699;
POU6F1,0.0074229,0.031557,0.945518,652,0.74306,6,HGLibB_37747;HGLibA_37795;HGLibB_37745;HGLibB_37746;HGLibA_37796;HGLibA_37794;,0.84322;1.1333;0.71157;0.42394;0.77456;0.092048;
COA4,0.0074983,0.031815,0.945518,656,0.98262,5,HGLibB_10437;HGLibA_10450;HGLibA_10448;HGLibA_10449;HGLibB_10438;,1.3714;1.4252;1.637;0.59381;0.12305;
RPL7L1,0.0075945,0.032446,0.945518,662,0.95144,5,HGLibB_41945;HGLibB_41946;HGLibB_41947;HGLibA_41999;HGLibA_41998;,0.94826;0.98632;1.0615;0.95462;0.59535;
AZGP1,0.0077639,0.032935,0.945518,674,1.0093,5,HGLibA_03930;HGLibA_03929;HGLibB_03928;HGLibA_03931;HGLibB_03927;,1.1622;1.5681;0.9546;1.0641;0.46218;
MAGEC3,0.0077672,0.032935,0.945518,675,0.91101,5,HGLibA_27966;HGLibA_27965;HGLibB_27924;HGLibA_27964;HGLibB_27925;,2.9123;1.9019;1.1901;0.63192;0.36636;
CHAF1B,0.0079038,0.033051,0.945518,688,0.71806,5,HGLibA_09350;HGLibA_09349;HGLibB_09342;HGLibB_09341;HGLibA_09351;,1.0767;1.9133;1.0333;0.4028;0.19849;
C6orf118,0.0080845,0.033236,0.945518,702,0.77918,5,HGLibA_06436;HGLibB_06432;HGLibB_06433;HGLibA_06437;HGLibA_06438;,1.7456;0.6574;0.90097;2.2493;0.018922;
UNK,0.0081177,0.033236,0.945518,706,0.86357,5,HGLibB_52981;HGLibB_52982;HGLibA_53048;HGLibB_52983;HGLibA_53046;,0.87228;0.98728;0.85486;1.0746;0.26125;
RBM19,0.0081808,0.033331,0.945518,711,0.93649,5,HGLibA_40504;HGLibA_40503;HGLibB_40452;HGLibB_40451;HGLibB_40453;,1.4538;1.0977;1.3208;0.36246;0.77525;
